medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,2013-01-10 15:17:20,CSH,8,0,0.5,0,0,8.5
1159BD618BE1D4A90D522416A77AC29A,9964A99249A4888E2C6AE55BA78A6F64,CMT,2013-01-10 15:04:11,CSH,4.5,0,0.5,0,0,5
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,2013-01-08 13:16:48,CSH,12,0,0.5,0,0,12.5
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,2013-01-08 15:33:16,CSH,11.5,0,0.5,0,0,12
38CA8BCB4180F32BEDE6FE085F4E445E,CE7A3E2632A838C9C02334D65E4355AF,CMT,2013-01-07 22:35:11,CSH,44.5,0.5,0.5,0,0,45.5
C28DA92FB1D60B9EBFB7EFA6AE6C4577,979AF867DF1D4CF290467D47E5BD20CA,CMT,2013-01-07 18:48:51,CSH,7,1,0.5,0,0,8.5
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,2013-01-07 22:19:19,CSH,32.5,0.5,0.5,0,2.2,35.7
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,2013-01-10 10:31:05,CSH,12,0,0.5,0,0,12.5
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,2013-01-08 02:22:17,CSH,4,0.5,0.5,0,0,5
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,2013-01-07 13:21:28,CSH,11,0,0.5,0,0,11.5
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,2013-01-07 21:58:43,CSH,9,0.5,0.5,0,0,10
5C1E310A26EEE17AA72AFE63194DE5B5,A56B275487B0D09E6BA4C8801E0B2BE3,CMT,2013-01-01 17:11:51,CSH,6.5,0,0.5,0,0,7
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,2013-01-08 10:44:06,DIS,3.5,0,0.5,0,0,4
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,2013-01-10 14:55:05,CSH,4,0,0.5,0,0,4.5
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,2013-01-10 10:42:05,CSH,7.5,0,0.5,0,0,8
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,2013-01-07 08:29:26,CSH,6,0,0.5,0,0,6.5
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,2013-01-05 14:00:07,CSH,6,0,0.5,0,0,6.5
0DDA4FBFADAE0126868397C423989193,CD45CB7CD02BB6649F9A23F5A374A480,CMT,2013-01-05 21:04:10,CSH,6.5,0.5,0.5,0,0,7.5
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,2013-01-08 13:51:53,CSH,4.5,0,0.5,0,0,5
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,2013-01-06 22:18:22,CSH,10.5,0.5,0.5,0,0,11.5
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,2013-01-08 12:50:22,CSH,7.5,0,0.5,0,0,8
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,2013-01-08 07:51:16,NOC,2.5,0,0.5,0,0,3
