medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,2013-01-10 10:08:28,2013-01-10 10:31:23,1,1375,2.50,-73.990204,40.748875,-73.958092,40.765244
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,2013-01-10 13:45:16,2013-01-10 13:55:42,1,625,1.80,-73.994225,40.743343,-73.990562,40.724537
1ABD0BB8B7278A49B4F6502B59E1CEFB,AE49AF37C8856F2EA32953F207A9C339,CMT,1,N,2013-01-01 23:33:10,2013-01-01 23:36:18,2,188,.80,-73.983711,40.756092,-73.98494,40.748222
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,1,N,2013-01-08 08:04:43,2013-01-08 08:13:45,1,542,1.40,-74.000961,40.747326,-73.981567,40.742344
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,2013-01-08 12:48:13,2013-01-08 12:55:53,1,459,1.00,-74.000534,40.742233,-74.005173,40.728985
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,2013-01-08 11:20:30,2013-01-08 11:38:54,1,1104,2.00,-73.991524,40.750286,-73.970345,40.751801
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,2013-01-10 16:16:38,2013-01-10 16:22:03,2,324,1.10,-74.006844,40.741451,-73.994499,40.75061
24BBC0F0660705A705213997B408E775,DFAAB8123DBA2696AFE3E289530BFDD1,CMT,1,N,2013-01-07 15:32:02,2013-01-07 15:35:27,1,204,.80,-73.970627,40.788956,-73.96949,40.797729
E71CDEFCB364DA0D385629612EE30642,C7259B75B62CB850082BDEB4149DC075,CMT,1,N,2013-01-07 18:42:01,2013-01-07 18:46:35,1,274,.60,-73.985481,40.75679,-73.99131,40.749985
B4B73C7B5D426BF5D77586628774409D,521E0E82FE5F1C8DDD7F019CE718C022,CMT,1,N,2013-01-07 20:44:18,2013-01-07 20:46:56,1,157,.40,-73.988838,40.723125,-73.99382,40.721088
BCE59CF7BF7FC3BCAF75E0DA610454AE,3D1DA149B5F4C3AF065249253EDAFE4F,CMT,1,N,2013-01-08 00:38:28,2013-01-08 00:54:13,1,945,6.20,-73.988708,40.720913,-73.940193,40.79808
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,1,N,2013-01-08 03:50:07,2013-01-08 03:53:21,2,193,1.00,-73.981224,40.767769,-73.970879,40.758625
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,1,N,2013-01-07 19:41:25,2013-01-07 19:46:57,1,332,1.60,-73.990692,40.718311,-73.979843,40.739082
927778B147439831E9A9A478457D25E1,2E744AB076831794EAD3C3AE52FAAE8B,CMT,1,N,2013-01-07 09:54:33,2013-01-07 10:03:42,1,549,1.70,-73.952293,40.766174,-73.956772,40.783718
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,1,N,2013-01-08 15:47:04,2013-01-08 16:06:00,1,1136,2.90,-73.96151,40.771465,-73.991211,40.739906
